tracking_id,return_date,order_id
626946278374,2024-04-29T11:49:13Z,406-1009729-9344368
625992120651,2023-07-27T09:33:52Z,404-9859527-9835556
625532873849,2023-02-23T02:37:23Z,404-9617082-5962762
625525532364,2023-02-20T06:18:26Z,404-2493434-1225927
625252403678,2022-11-09T13:30:40Z,404-9390447-8513949
625217022371,2022-10-28T08:04:46Z,404-5189073-4603538
513401188401,2022-08-31T16:49:43Z,171-5261289-6788337
513400022829,2022-08-30T14:45:14Z,171-5261289-6788337
513394195141,2022-08-25T16:05:56Z,171-5261289-6788337
513384019556,2022-08-16T17:10:02Z,171-5261289-6788337
624863013122,2022-07-09T01:28:11Z,407-2640876-8241924
513255598593,2022-05-05T05:08:21Z,407-5654038-8019557
624464106537,2022-01-26T12:41:17Z,403-5618500-1928319
513070366957,2021-11-25T07:05:44Z,404-5991569-6313150
623985362293,2021-08-03T12:26:55Z,408-0913210-5621951
623960479213,2021-07-26T08:36:43Z,408-6716328-4757100
623708545095,2021-03-30T07:09:12Z,405-7065410-7102708
623707451274,2021-03-29T13:04:54Z,402-6681740-7333924
623494209799,2020-12-13T17:35:27Z,171-7319114-1453131
623396143290,2020-11-05T14:57:53Z,171-8033761-0672317
623224861754,2020-09-02T07:40:49Z,408-3499897-9984318
623203121510,2020-08-23T13:35:34Z,408-7262297-3659522
